kode_wilayah,nama_wilayah,level,kode_parent
1277051002,RIMBA SOPING,desa,1277051
1277051003,MOMPANG,desa,1277051
1277051004,BATU LAYAN,desa,1277051
1277051005,JORING LOMBANG,desa,1277051
1277051006,JORING NATOBANG,desa,1277051
1277051007,SIMASOM,desa,1277051
1277051008,PINTU LANGIT JAE,desa,1277051
1278,GUNUNGSITOLI,kota,12
1278010,GUNUNGSITOLI IDANOI,kecamatan,1278
1278010001,HILIMBOWO IDANOI,desa,1278010
1278010002,HILIWETO IDANOI,desa,1278010
1278010003,TUHEGEO II,desa,1278010
1278010004,SAMASI,desa,1278010
1278010005,LOLO'ANA'A IDANOI,desa,1278010
1278010006,OMBOLATA,desa,1278010
1278010007,ONOWAEMBO,desa,1278010
1278010008,SIWALUBANUA I,desa,1278010
1278010009,AWA'AI,desa,1278010
1278010010,LEWUOGURU IDANOI,desa,1278010
1278010011,FADORO,desa,1278010
1278010012,SIFALAETE,desa,1278010
1278010013,HILIHAMBAWA,desa,1278010
1278010014,TETEHOSI I,desa,1278010
1278010015,TETEHOSI II,desa,1278010
1278010016,BINAKA,desa,1278010
1278010017,IDANOTAE,desa,1278010
1278010018,FOWA,desa,1278010
1278010019,SIWALUBANUA II,desa,1278010
